title,publicationTitle,DOI
Evidence for persistent and shared bacterial strains against a background of largely unique gut colonization in hospitalized premature infants,The ISME Journal,10.1038/ismej.2016.83
Evaluation of two novel barcodes for species recognition of opportunistic pathogens in Fusarium,Fungal Biology,10.1016/j.funbio.2015.08.006
Evaluation of a new monochloramine generation system for controlling Legionella in building hot water systems,Infection Control and Hospital Epidemiology,10.1086/678418
Erratum to: The Metagenomics and Metadesign of the Subways and Urban Biomes (MetaSUB) International Consortium Inaugural Meeting Report,Microbiome,10.1186/s40168-016-0184-z
Efficient de novo assembly of single-cell bacterial genomes from short-read data sets,Nature Biotechnology,10.1038/nbt.1966
Effect of polyethylene glycol on pore structure and separation efficiency of silica-based monolithic capillary columns,Journal of Chromatography. A,10.1016/j.chroma.2016.03.009
Effect of monochloramine treatment on the microbial ecology of Legionella and associated bacterial populations in a hospital hot water system,Systematic and Applied Microbiology,10.1016/j.syapm.2015.02.006
Ecological Succession and Viability of Human-Associated Microbiota on Restroom Surfaces,Applied and Environmental Microbiology,10.1128/AEM.03117-14
"Draft genome sequences of eight bacteria isolated from the indoor environment: Staphylococcus capitis strain H36, S. capitis strain H65, S. cohnii strain H62, S. hominis strain H69, Microbacterium sp. strain H83, Mycobacterium iranicum strain H39, Plantibacter sp. strain H53, and Pseudomonas oryzihabitans strain H72",Standards in Genomic Sciences,10.1186/s40793-017-0223-9
Draft Genome Sequence of Dietzia sp. Strain UCD-THP (Phylum Actinobacteria),Genome Announcements,10.1128/genomeA.00197-13
Draft Genome Sequence of <i>Propionibacterium avidum</i> Strain UCD-PD2 Isolated from a Feline Anal Sac,Genome Announcements,10.1128/genomeA.00034-17
Draft Genome Sequence of <i>Porphyrobacter mercurialis</i> (sp. nov.) Strain Coronado,Genome Announcements,10.1128/genomeA.00856-15
Draft Genome Sequence of <i>Planomicrobium glaciei</i> UCD-HAM (Phylum <i>Firmicutes</i> ),Genome Announcements,10.1128/genomeA.01209-15
Draft Genome Sequence of <i>Enterococcus faecalis</i> Strain UCD-PD3,Genome Announcements,10.1128/genomeA.01386-16
Draft Genome Sequence of <i>Curtobacterium</i> sp. Strain UCD-KPL2560 (Phylum <i>Actinobacteria</i> ),Genome Announcements,10.1128/genomeA.01040-16
Draft Genome Sequence of <i>Arthrobacter</i> sp. Strain UCD-GKA (Phylum <i>Actinobacteria</i> ),Genome Announcements,10.1128/genomeA.01599-16
DNA Barcoding Works in Practice but Not in (Neutral) Theory,PLoS ONE,10.1371/journal.pone.0100755
"Diversity, distribution and sources of bacteria in residential kitchens",Environmental Microbiology,10.1111/1462-2920.12036
Diversity and dynamics of rare and of resident bacterial populations in coastal sands,The ISME Journal,10.1038/ismej.2011.132
"Diverse, rare microbial taxa responded to the Deepwater Horizon deep-sea hydrocarbon plume",The ISME journal,10.1038/ismej.2015.121
Dispersal in microbes: fungi in indoor air are dominated by outdoor air and show dispersal limitation at short distances,The ISME Journal,10.1038/ismej.2013.28
Diet quality affects bait performance in German cockroaches (Dictyoptera: Blattellidae),Pest Management Science,10.1002/ps.4295
Culture-Independent Identification of Nontuberculous Mycobacteria in Cystic Fibrosis Respiratory Samples,PLoS ONE,10.1371/journal.pone.0153876
Convective Mixing in Distal Pipes Exacerbates Legionella pneumophila Growth in Hot Water Plumbing,Pathogens,10.3390/pathogens5010029
Continental-scale distributions of dust-associated bacteria and fungi,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1420815112
Community-Level Differences in the Microbiome of Healthy Wild Mallards and Those Infected by Influenza A Viruses,mSystems,10.1128/mSystems.00188-16
Combining real-time PCR and next-generation DNA sequencing to provide quantitative comparisons of fungal aerosol populations,Atmospheric Environment,10.1016/j.atmosenv.2013.11.036
Chamber Bioaerosol Study: Outdoor Air and Human Occupants as Sources of Indoor Airborne Microbes,PLoS ONE,10.1371/journal.pone.0128022
Chamber bioaerosol study: human emissions of size-resolved fluorescent biological aerosol particles,Indoor Air,10.1111/ina.12195
Challenges of studying viral aerosol metagenomics and communities in comparison with bacterial and fungal aerosols,FEMS microbiology letters,10.1111/1574-6968.12487
Can bioinformed design promote healthy indoor ecosystems?,Indoor Air,10.1111/ina.12090
Bridging two scholarly islands enriches both: COI DNA barcodes for species identification versus human mitochondrial variation for the study of migrations and pathologies,Ecology and Evolution,10.1002/ece3.2394
Biodiversity and biogeography of the atmosphere,Philosophical Transactions of the Royal Society B: Biological Sciences,10.1098/rstb.2010.0283
Balancing water sustainability and public health goals in the face of growing concerns about antibiotic resistance,Environmental Science & Technology,10.1021/es403883p
Bacterial Diversity in Two Neonatal Intensive Care Units (NICUs),PLoS ONE,10.1371/journal.pone.0054703
Bacterial Communities Associated with the Surfaces of Fresh Fruits and Vegetables,PLoS ONE,10.1371/journal.pone.0059310
A taxonomic and phylogenetic revision of Penicillium section Aspergilloides,Studies in Mycology,10.1016/j.simyco.2014.09.002
Assessing the aerodynamic diameters of taxon-specific fungal bioaerosols by quantitative PCR and next-generation DNA sequencing,Journal of Aerosol Science,10.1016/j.jaerosci.2014.08.007
Assessing allergenic fungi in house dust by floor wipe sampling and quantitative PCR: Assessing house dust fungi by wipe sampling and qPCR,Indoor Air,10.1111/j.1600-0668.2011.00732.x
"Aspergillus section Nidulantes (formerly Emericella): Polyphasic taxonomy, chemistry and biology",Studies in Mycology,10.1016/j.simyco.2016.10.001
"Aspergillus, Penicillium and Talaromyces isolated from house dust samples collected around the world",Studies in Mycology,10.1016/j.simyco.2014.07.002
Architectural design influences the diversity and structure of the built environment microbiome,The ISME Journal,10.1038/ismej.2011.211
Application of the Phylogenetic Species Concept to Wallemia sebi from House Dust and Indoor Air Revealed by Multi-Locus Genealogical Concordance,PLoS ONE,10.1371/journal.pone.0120894
Anticipating challenges with in-building disinfection for control of opportunistic pathogens,Water Environment Research: A Research Publication of the Water Environment Federation,
"Annotating public fungal ITS sequences from the built environment according to the MIxS-Built Environment standard – a report from a May 23-24, 2016 workshop (Gothenburg, Sweden)",MycoKeys,10.3897/mycokeys.16.10000
A metagenomics portal for a democratized sequencing world,Methods in Enzymology,10.1016/B978-0-12-407863-5.00022-8
A large-scale benchmark study of existing algorithms for taxonomy-independent microbial community analysis,Briefings in Bioinformatics,10.1093/bib/bbr009
A Filtering Method to Generate High Quality Short Reads Using Illumina Paired-End Technology,PLoS ONE,10.1371/journal.pone.0066643
"Accuracy, Precision, and Method Detection Limits of Quantitative PCR for Airborne Bacteria and Fungi",Applied and Environmental Microbiology,10.1128/AEM.01240-10
"<i>Porphyrobacter mercurialis</i> sp. nov., isolated from a stadium seat and emended description of the genus <i>Porphyrobacter</i>",PeerJ,10.7717/peerj.1400
"Xerotolerant fungi in house dust: taxonomy of Spiromastix, Pseudospiromastix and Sigleria gen. nov. in Spiromastigaceae (Onygenales, Eurotiomycetes)",Mycologia,10.3852/15-065
What Have We Learned about the Microbiomes of Indoor Environments?,mSystems,10.1128/mSystems.00083-16
Water heater temperature set point and water use patterns influence Legionella pneumophila and associated microorganisms at the tap,Microbiome,10.1186/s40168-015-0134-1
Walls talk: Microbial biogeography of homes spanning urbanization,Science Advances,10.1126/sciadv.1501061
Walking-induced particle resuspension in indoor environments,Atmospheric Environment,10.1016/j.atmosenv.2014.02.035
VAMPS: a website for visualization and analysis of microbial population structures,BMC Bioinformatics,10.1186/1471-2105-15-41
Using QIIME to Analyze 16S rRNA Gene Sequences from Microbial Communities,Current protocols in microbiology,10.1002/9780471729259.mc01e05s27
Unique features of a global human ectoparasite identified through sequencing of the bed bug genome,Nature Communications,10.1038/ncomms10165
Total Virus and Bacteria Concentrations in Indoor and Outdoor Air,Environmental science & technology letters,10.1021/acs.estlett.5b00050
The Power of Engaging Citizen Scientists for Scientific Progress,Journal of Microbiology & Biology Education,10.1128/jmbe.v17i1.1052
The Oral and Skin Microbiomes of Captive Komodo Dragons Are Significantly Shared with Their Habitat,mSystems,10.1128/mSystems.00046-16
The Metagenomics and Metadesign of the Subways and Urban Biomes (MetaSUB) International Consortium inaugural meeting report,Microbiome,10.1186/s40168-016-0168-z
The low information content of Neurospora splicing signals: implications for RNA splicing and intron origin,"RNA (New York, N.Y.)",10.1261/rna.047985.114
The Influence of Age and Gender on Skin-Associated Microbial Communities in Urban and Rural Human Populations,PLOS ONE,10.1371/journal.pone.0141842
The impact of freeze-drying infant fecal samples on measures of their bacterial community profiles and milk-derived oligosaccharide content,PeerJ,10.7717/peerj.1612
"The Hospital Microbiome Project: Meeting report for the 2nd Hospital Microbiome Project, Chicago, USA, January 15th, 2013",Standards in Genomic Sciences,10.4056/sigs.4187859
"The Hospital Microbiome Project: Meeting Report for the 1st Hospital Microbiome Project Workshop on sampling design and building science measurements, Chicago, USA, June 7th-8th 2012",Standards in Genomic Sciences,10.4056/sigs.3717348
The ecology of microscopic life in household dust,Proceedings. Biological Sciences / The Royal Society,10.1098/rspb.2015.1139
The diversity of arthropods in homes across the United States as determined by environmental DNA analyses,Molecular Ecology,10.1111/mec.13900
The Diversity and Distribution of Fungi on Residential Surfaces,PLoS ONE,10.1371/journal.pone.0078866
"The cytoplasmic structure hypothesis for ribosome assembly, vertical inheritance, and phylogeny",BioEssays,10.1002/bies.200800190
Tetracycline resistance and Class 1 integron genes associated with indoor and outdoor aerosols,Environmental Science & Technology,10.1021/es400238g
Swabs to genomes: a comprehensive workflow,PeerJ,10.7717/peerj.960
Summary of Sloan symposium: healthy buildings 2015-Europe,Microbiome,10.1186/s40168-015-0115-4
Studying the microbiology of the indoor environment,Genome Biology,10.1186/gb-2013-14-2-202
Stability of operational taxonomic units: an important but neglected property for analyzing microbial diversity,Microbiome,10.1186/s40168-015-0081-x
"Speciation of coagulase negative staphylococci, isolated from indoor air, using SDS PAGE gel bands of expressed proteins followed by MALDI TOF MS and MALDI TOF-TOF MS-MS analysis of tryptic peptides",Journal of Microbiological Methods,10.1016/j.mimet.2010.12.007
"Spatial and Temporal Variations in Indoor Environmental Conditions, Human Occupancy, and Operational Characteristics in a New Hospital Building",PLoS ONE,10.1371/journal.pone.0118207
Sources of airborne microorganisms in the built environment,Microbiome,10.1186/s40168-015-0144-z
Size-resolved emission rates of airborne bacteria and fungi in an occupied classroom: Size-resolved bioaerosol emission rates,Indoor Air,10.1111/j.1600-0668.2012.00769.x
Sequencing our way towards understanding global eukaryotic biodiversity,Trends in ecology & evolution,10.1016/j.tree.2011.11.010
Seasonal Dynamics of the Airborne Bacterial Community and Selected Viruses in a Children’s Daycare Center,PLoS ONE,10.1371/journal.pone.0151004
Schrödinger’s microbes: Tools for distinguishing the living from the dead in microbial ecosystems,Microbiome,10.1186/s40168-017-0285-3
Reply to Kiss: Internal transcribed spacer (ITS) remains the best candidate as a universal DNA barcode marker for Fungi despite imperfections,Proceedings of the National Academy of Sciences,10.1073/pnas.1207508109
Relationship between Organic Carbon and Opportunistic Pathogens in Simulated Glass Water Heaters,Pathogens,10.3390/pathogens4020355
Recent Advances in the Microbiology of the Built Environment,Current Sustainable/Renewable Energy Reports,10.1007/s40518-014-0007-4
"Rasamsonia pulvericola sp. nov., isolated from house dust",IMA Fungus,10.5598/imafungus.2013.04.02.06
QIIME allows analysis of high-throughput community sequencing data,Nature Methods,10.1038/nmeth.f.303
Probiotic approach to pathogen control in premise plumbing systems? A review,Environmental Science & Technology,10.1021/es402455r
Polyphasic taxonomy of the genus Talaromyces,Studies in Mycology,10.1016/j.simyco.2014.08.001
Phylogenetic Diversity Theory Sheds Light on the Structure of Microbial Communities,PLoS Computational Biology,10.1371/journal.pcbi.1002832
Passive dust collectors for assessing airborne microbial material,Microbiome,10.1186/s40168-015-0112-7
Particle-size distributions and seasonal diversity of allergenic and pathogenic fungi in outdoor air,The ISME Journal,10.1038/ismej.2012.30
Our interface with the built environment: immunity and the indoor microbiota,Trends in immunology,10.1016/j.it.2015.01.001
Optimizing Taq Polymerase Concentration for Improved Signal-to-Noise in the Broad Range Detection of Low Abundance Bacteria,PLoS ONE,10.1371/journal.pone.0007010
Opportunistic Premise Plumbing Pathogens: Increasingly Important Pathogens in Drinking Water,Pathogens,10.3390/pathogens4020373
Opportunistic pathogens enriched in showerhead biofilms,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0908446106
Open-Source Sequence Clustering Methods Improve the State Of the Art,mSystems,10.1128/mSystems.00003-15
On the intrinsic sterility of 3D printing,PeerJ,10.7717/peerj.2661
"One fungus, which genes? Development and assessment of universal primers for potential secondary fungal DNA barcodes",Persoonia - Molecular Phylogeny and Evolution of Fungi,10.3767/003158515X689135
On-Demand Removal of Bacterial Biofilms via Shape Memory Activation,ACS applied materials & interfaces,10.1021/acsami.6b06900
Oligotyping: differentiating between closely related microbial taxa using 16S rRNA gene data,Methods in Ecology and Evolution,10.1111/2041-210X.12114
Office Space Bacterial Abundance and Diversity in Three Metropolitan Areas,PLoS ONE,10.1371/journal.pone.0037849
Next-generation DNA sequencing reveals that low fungal diversity in house dust is associated with childhood asthma development,Indoor Air,10.1111/ina.12072
New Talaromyces species from indoor environments in China,Studies in Mycology,10.1016/j.simyco.2016.11.003
Neonatal gut microbiota associates with childhood multisensitized atopy and T cell differentiation,Nature Medicine,10.1038/nm.4176
Nearly finished genomes produced using gel microdroplet culturing reveal substantial intraspecies genomic diversity within the human microbiome,Genome Research,10.1101/gr.142208.112
Multiplexed Spectral Imaging of 120 Different Fluorescent Labels,PLOS ONE,10.1371/journal.pone.0158495
Molecular Evidence for Metabolically Active Bacteria in the Atmosphere,Frontiers in Microbiology,10.3389/fmicb.2016.00772
Molecular analysis of single room humidifier bacteriology,Water Research,10.1016/j.watres.2014.11.024
Molecular analysis of environmental plant DNA in house dust across the United States,Aerobiologia,10.1007/s10453-016-9451-5
mockrobiota: a Public Resource for Microbiome Bioinformatics Benchmarking,mSystems,10.1128/mSystems.00062-16
Minimum entropy decomposition: Unsupervised oligotyping for sensitive partitioning of high-throughput marker gene sequences,The ISME Journal,10.1038/ismej.2014.195
"Millions of reads, thousands of taxa: microbial community structure and associations analyzed via marker genes",FEMS microbiology reviews,10.1093/femsre/fuw017
Microbiota of the indoor environment: a meta-analysis,Microbiome,10.1186/s40168-015-0108-3
Microbial community response to chlorine conversion in a chloraminated drinking water distribution system,Environmental Science & Technology,10.1021/es502646d
Microbial Biogeography of Public Restroom Surfaces,PLoS ONE,10.1371/journal.pone.0028132
Meeting Report: Fungal ITS Workshop (October 2012),Standards in Genomic Sciences,10.4056/sigs.3737409
Making microbiology of the built environment relevant to design,Microbiome,10.1186/s40168-016-0152-7
Literature-based gene curation and proposed genetic nomenclature for cryptococcus,Eukaryotic Cell,10.1128/EC.00083-14
Ironing out the wrinkles in the rare biosphere through improved OTU clustering,Environmental Microbiology,10.1111/j.1462-2920.2010.02193.x
"Interactive Effects of Corrosion, Copper, and Chloramines on <i>Legionella</i> and Mycobacteria in Hot Water Plumbing",Environmental Science & Technology,10.1021/acs.est.6b05616
Insecticide resistance and diminished secondary kill performance of bait formulations against German cockroaches (Dictyoptera: Blattellidae),Pest Management Science,10.1002/ps.4211
Innate Immunity and Asthma Risk in Amish and Hutterite Farm Children,The New England Journal of Medicine,10.1056/NEJMoa1508749
Indoor chemistry: research opportunities and challenges,Indoor Air,10.1111/ina.12219
Indoor bioaerosol dynamics,Indoor Air,10.1111/ina.12174
Improved Bacterial 16S rRNA Gene (V4 and V4-5) and Fungal Internal Transcribed Spacer Marker Gene Primers for Microbial Community Surveys,mSystems,10.1128/mSystems.00009-15
Impacts of flood damage on airborne bacteria and fungi in homes after the 2013 Colorado Front Range flood,Environmental Science & Technology,10.1021/es503845j
Impact of water heater temperature setting and water use frequency on the building plumbing microbiome,The ISME Journal,10.1038/ismej.2017.14
