"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KWUE37I9","journalArticle","2011","Zinger, Lucie; Amaral-Zettler, Linda A.; Fuhrman, Jed A.; Horner-Devine, M. Claire; Huse, Susan M.; Welch, David B. Mark; Martiny, Jennifer B. H.; Sogin, Mitchell; Boetius, Antje; Ramette, Alban","Global Patterns of Bacterial Beta-Diversity in Seafloor and Seawater Ecosystems","PLoS ONE","","1932-6203","10.1371/journal.pone.0024570","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3169623/","Background Marine microbial communities have been essential contributors to global biomass, nutrient cycling, and biodiversity since the early history of Earth, but so far their community distribution patterns remain unknown in most marine ecosystems. Methodology/Principal Findings The synthesis of 9.6 million bacterial V6-rRNA amplicons for 509 samples that span the global ocean's surface to the deep-sea floor shows that pelagic and benthic communities greatly differ, at all taxonomic levels, and share <10% bacterial types defined at 3% sequence similarity level. Surface and deep water, coastal and open ocean, and anoxic and oxic ecosystems host distinct communities that reflect productivity, land influences and other environmental constraints such as oxygen availability. The high variability of bacterial community composition specific to vent and coastal ecosystems reflects the heterogeneity and dynamic nature of these habitats. Both pelagic and benthic bacterial community distributions correlate with surface water productivity, reflecting the coupling between both realms by particle export. Also, differences in physical mixing may play a fundamental role in the distribution patterns of marine bacteria, as benthic communities showed a higher dissimilarity with increasing distance than pelagic communities. Conclusions/Significance This first synthesis of global bacterial distribution across different ecosystems of the World's oceans shows remarkable horizontal and vertical large-scale patterns in bacterial communities. This opens interesting perspectives for the definition of biogeographical biomes for bacteria of ocean waters and the seabed.","2011-09-08","2016-07-22 15:43:55","2016-07-22 15:43:55","2016-07-22 15:43:55","","","9","6","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 21931760 PMCID: PMC3169623","","C:\Users\Sparhawk\Zotero\storage\DSA2DFDJ\Zinger et al. - 2011 - Global Patterns of Bacterial Beta-Diversity in Sea.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3169623/","ICoMM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SV24XET","journalArticle","2010","Huber, Julie A.; Cantin, Holly V.; Huse, Susan M.; Welch, David B. Mark; Sogin, Mitchell L.; Butterfield, David A.","Isolated communities of Epsilonproteobacteria in hydrothermal vent fluids of the Mariana Arc seamounts","FEMS Microbiology Ecology","","1574-6941","10.1111/j.1574-6941.2010.00910.x","http://femsec.oxfordjournals.org/content/73/3/538","Low-temperature hydrothermal vent fluids represent access points to diverse microbial communities living in oceanic crust. This study examined the distribution, relative abundance, and diversity of Epsilonproteobacteria in 14 low-temperature vent fluids from five volcanically active seamounts of the Mariana Arc using a 454 tag sequencing approach. Most vent fluids were enriched in cell concentrations compared with background seawater, and quantitative PCR results indicated that all fluids were dominated by bacteria. Operational taxonomic unit-based statistical tools applied to 454 data show that all vents from the northern end of the Mariana Arc grouped together, to the exclusion of southern arc seamounts, which were as distinct from one another as they were from northern seamounts. Statistical analysis also showed a significant relationship between seamount and individual vent groupings, suggesting that community membership may be linked to geographical isolation and not geochemical parameters. However, while there may be large-scale geographic differences, distance is not the distinguishing factor in the microbial community composition. At the local scale, most vents host a distinct population of Epsilonproteobacteria, regardless of seamount location. This suggests that there may be barriers to exchange and dispersal for these vent endemic microorganisms at hydrothermal seamounts of the Mariana Arc.","2010-09-01","2016-07-22 15:46:06","2016-07-22 15:46:06","2016-07-22 15:46:06","538-549","","3","73","","","","","","","","","","en","© 2010 Federation of European Microbiological Societies. Published by Blackwell Publishing Ltd. All rights reserved","","","","femsec.oxfordjournals.org","","PMID: 20533947","","C:\Users\Sparhawk\Zotero\storage\KPM6R67T\Huber et al. - 2010 - Isolated communities of Epsilonproteobacteria in h.pdf; ; C:\Users\Sparhawk\Zotero\storage\IEPDGQ9U\538.html","http://www.ncbi.nlm.nih.gov/pubmed/20533947","ICoMM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83RN3PDE","journalArticle","2009","Spangler, Rudolph; Goddard, Noel L.; Thaler, David S.","Optimizing Taq Polymerase Concentration for Improved Signal-to-Noise in the Broad Range Detection of Low Abundance Bacteria","PLoS ONE","","1932-6203","10.1371/journal.pone.0007010","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2737620/","Background PCR in principle can detect a single target molecule in a reaction mixture. Contaminating bacterial DNA in reagents creates a practical limit on the use of PCR to detect dilute bacterial DNA in environmental or public health samples. The most pernicious source of contamination is microbial DNA in DNA polymerase preparations. Importantly, all commercial Taq polymerase preparations inevitably contain contaminating microbial DNA. Removal of DNA from an enzyme preparation is problematical. Methodology/Principal Findings This report demonstrates that the background of contaminating DNA detected by quantitative PCR with broad host range primers can be decreased greater than 10-fold through the simple expedient of Taq enzyme dilution, without altering detection of target microbes in samples. The general method is: For any thermostable polymerase used for high-sensitivity detection, do a dilution series of the polymerase crossed with a dilution series of DNA or bacteria that work well with the test primers. For further work use the concentration of polymerase that gave the least signal in its negative control (H2O) while also not changing the threshold cycle for dilutions of spiked DNA or bacteria compared to higher concentrations of Taq polymerase. Conclusions/Significance It is clear from the studies shown in this report that a straightforward procedure of optimizing the Taq polymerase concentration achieved “treatment-free” attenuation of interference by contaminating bacterial DNA in Taq polymerase preparations. This procedure should facilitate detection and quantification with broad host range primers of a small number of bona fide bacteria (as few as one) in a sample.","2009-09-15","2016-07-22 15:51:43","2017-08-14 22:29:15","2016-07-22 15:51:43","","","9","4","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 19753123 PMCID: PMC2737620","","C:\Users\Sparhawk\Zotero\storage\SSD6UFV6\Spangler et al. - 2009 - Optimizing Taq Polymerase Concentration for Improv.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2737620/","G-B2007-60 TR09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZF46WUJ","journalArticle","2014","Stoeckle, Mark Y.; Thaler, David S.","DNA Barcoding Works in Practice but Not in (Neutral) Theory","PLoS ONE","","1932-6203","10.1371/journal.pone.0100755","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4079456/","Background DNA barcode differences within animal species are usually much less than differences among species, making it generally straightforward to match unknowns to a reference library. Here we aim to better understand the evolutionary mechanisms underlying this usual “barcode gap” pattern. We employ avian barcode libraries to test a central prediction of neutral theory, namely, intraspecific variation equals 2 Nµ, where N is population size and µ is mutations per site per generation. Birds are uniquely suited for this task: they have the best-known species limits, are well represented in barcode libraries, and, most critically, are the only large group with documented census population sizes. In addition, we ask if mitochondrial molecular clock measurements conform to neutral theory prediction of clock rate equals µ. Results Intraspecific COI barcode variation was uniformly low regardless of census population size (n = 142 species in 15 families). Apparent outliers reflected lumping of reproductively isolated populations or hybrid lineages. Re-analysis of a published survey of cytochrome b variation in diverse birds (n = 93 species in 39 families) further confirmed uniformly low intraspecific variation. Hybridization/gene flow among species/populations was the main limitation to DNA barcode identification. Conclusions/Significance To our knowledge, this is the first large study of animal mitochondrial diversity using actual census population sizes and the first to test outliers for population structure. Our finding of universally low intraspecific variation contradicts a central prediction of neutral theory and is not readily accounted for by commonly proposed ad hoc modifications. We argue that the weight of evidence–low intraspecific variation and the molecular clock–indicates neutral evolution plays a minor role in mitochondrial sequence evolution. As an alternate paradigm consistent with empirical data, we propose extreme purifying selection, including at synonymous sites, limits variation within species and continuous adaptive selection drives the molecular clock.","2014-07-02","2016-07-22 15:55:29","2017-08-14 22:28:36","2016-07-22 15:55:29","","","7","9","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 24988408 PMCID: PMC4079456","","C:\Users\Sparhawk\Zotero\storage\WV8K7GZX\Stoeckle and Thaler - 2014 - DNA Barcoding Works in Practice but Not in (Neutra.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4079456/","G-B2007-60 TR09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"687HS9BX","journalArticle","2014","Jain, Paras; Hsu, Tsungda; Arai, Masayoshi; Biermann, Karolin; Thaler, David S.; Nguyen, Andrew; González, Pablo A.; Tufariello, Joann M.; Kriakov, Jordan; Chen, Bing; Larsen, Michelle H.; Jacobs, William R.","Specialized Transduction Designed for Precise High-Throughput Unmarked Deletions in Mycobacterium tuberculosis","mBio","","2150-7511","10.1128/mBio.01245-14","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049104/","Specialized transduction has proven to be useful for generating deletion mutants in most mycobacteria, including virulent Mycobacterium tuberculosis. We have improved this system by developing (i) a single-step strategy for the construction of allelic exchange substrates (AES), (ii) a temperature-sensitive shuttle phasmid with a greater cloning capacity than phAE87, and (iii) bacteriophage-mediated transient expression of site-specific recombinase to precisely excise antibiotic markers. The methods ameliorate rate-limiting steps in strain construction in these difficult-to-manipulate bacteria. The new methods for strain construction were demonstrated to generalize to all classes of genes and chromosomal loci by generating more than 100 targeted single- or multiple-deletion substitutions. These improved methods pave the way for the generation of a complete ordered library of M. tuberculosis null strains, where each strain is deleted for a single defined open reading frame in M. tuberculosis., This work reports major advances in the methods of genetics applicable to all mycobacteria, including but not limited to virulent M. tuberculosis, which would facilitate comparative genomics to identify drug targets, genetic validation of proposed pathways, and development of an effective vaccine. This study presents all the new methods developed and the improvements to existing methods in an integrated way. The work presented in this study could increase the pace of mycobacterial genetics significantly and will immediately be of wide use. These new methods are transformative and allow for the undertaking of construction of what has been one of the most fruitful resources in model systems: a comprehensive, ordered library set of the strains, each of which is deleted for a single defined open reading frame.","2014-06-03","2016-07-22 15:56:16","2017-08-14 22:29:36","2016-07-22 15:56:16","","","3","5","","mBio","","","","","","","","","","","","","PubMed Central","","PMID: 24895308 PMCID: PMC4049104","","C:\Users\Sparhawk\Zotero\storage\PGV3RS6S\Jain et al. - 2014 - Specialized Transduction Designed for Precise High.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049104/","G-B2007-60 TR09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQ53FNA9","journalArticle","2016","Thaler, David S.","Toward a microbial Neolithic revolution in buildings","Microbiome","","2049-2618","10.1186/s40168-016-0157-2","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4810507/","The Neolithic revolution—the transition of our species from hunter and gatherer to cultivator—began approximately 14,000 years ago and is essentially complete for macroscopic food. Humans remain largely pre-Neolithic in our relationship with microbes but starting with the gut we continue our hundred-year project of approaching the ability to assess and cultivate benign microbiomes in our bodies. Buildings are analogous to the body and it is time to ask what it means to cultivate benign microbiomes in our built environment. A critical distinction is that we have not found, or invented, niches in buildings where healthful microbial metabolism occurs and/or could be cultivated. Key events affecting the health and healthfulness of buildings such as a hurricane leading to a flood or a burst pipe occur only rarely and unpredictably. The cause may be transient but the effects can be long lasting and, e.g., for moisture damage, cumulative. Non-invasive “building tomography” could find moisture and “sentinel microbes” could record the integral of transient growth. “Seed” microbes are metabolically inert cells able to grow when conditions allow. All microbes and their residue present actinic molecules including immunological epitopes (molecular shapes). The fascinating hygiene and microbial biodiversity hypotheses propose that a healthy immune system requires exposure to a set of microbial epitopes that is rich in diversity. A particular conjecture is that measures of the richness of diversity derived from microbiome next-generation sequencing (NGS) can be mechanistically coupled to—rather than merely correlated with some measures of—human health. These hypotheses and conjectures inspire workers and funders but an alternative is also consequent to the first Neolithic revolution: That the genetic uniformity of contemporary foods may also decrease human exposure to molecular biodiversity in a heath-relevant manner. Understanding the consequences—including the unintended consequences of the first Neolithic revolution—will inform and help us benignly implement the second—the microbial—Neolithic revolution.","2016-03-29","2016-07-22 15:57:13","2017-08-14 22:29:52","2016-07-22 15:57:13","","","","4","","Microbiome","","","","","","","","","","","","","PubMed Central","","PMID: 27021307 PMCID: PMC4810507","","C:\Users\Sparhawk\Zotero\storage\A9QUGGZV\Thaler - 2016 - Toward a microbial Neolithic revolution in buildin.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4810507/","G-B2007-60 TR09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VNWADRT","journalArticle","2015","Dedesko, Sandra; Siegel, Jeffrey A.","Moisture parameters and fungal communities associated with gypsum drywall in buildings","Microbiome","","2049-2618","10.1186/s40168-015-0137-y","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672539/","Uncontrolled excess moisture in buildings is a common problem that can lead to changes in fungal communities. In buildings, moisture parameters can be classified by location and include assessments of moisture in the air, at a surface, or within a material. These parameters are not equivalent in dynamic indoor environments, which makes moisture-induced fungal growth in buildings a complex occurrence. In order to determine the circumstances that lead to such growth, it is essential to have a thorough understanding of in situ moisture measurement, the influence of building factors on moisture parameters, and the levels of these moisture parameters that lead to indoor fungal growth. Currently, there are disagreements in the literature on this topic. A literature review was conducted specifically on moisture-induced fungal growth on gypsum drywall. This review revealed that there is no consistent measurement approach used to characterize moisture in laboratory and field studies, with relative humidity measurements being most common. Additionally, many studies identify a critical moisture value, below which fungal growth will not occur. The values defined by relative humidity encompassed the largest range, while those defined by moisture content exhibited the highest variation. Critical values defined by equilibrium relative humidity were most consistent, and this is likely due to equilibrium relative humidity being the most relevant moisture parameter to microbial growth, since it is a reasonable measure of moisture available at surfaces, where fungi often proliferate. Several sources concur that surface moisture, particularly liquid water, is the prominent factor influencing microbial changes and that moisture in the air and within a material are of lesser importance. However, even if surface moisture is assessed, a single critical moisture level to prevent fungal growth cannot be defined, due to a number of factors, including variations in fungal genera and/or species, temperature, and nutrient availability. Despite these complexities, meaningful measurements can still be made to inform fungal growth by making localised, long-term, and continuous measurements of surface moisture. Such an approach will capture variations in a material’s surface moisture, which could provide insight on a number of conditions that could lead to fungal proliferation.","2015-12-08","2016-07-22 16:01:35","2016-07-22 16:01:35","2016-07-22 16:01:35","","","","3","","Microbiome","","","","","","","","","","","","","PubMed Central","","PMID: 26642923 PMCID: PMC4672539","","C:\Users\Sparhawk\Zotero\storage\VTDEMGQR\Dedesko and Siegel - 2015 - Moisture parameters and fungal communities associa.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672539/","G-2014-13591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9MTNDNZ","journalArticle","2013","Tanney, Joey B.; Seifert, Keith A.","Rasamsonia pulvericola sp. nov., isolated from house dust","IMA Fungus","","2210-6340","10.5598/imafungus.2013.04.02.06","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3905939/","In the course of a global survey of the indoor mycobiota, we sampled and analysed settled dust from 87 buildings from 14 countries, using both a modified dilution-to-extinction method and 454-pyrosequencing. Rasamsonia is a recently established genus including thermotolerant or thermophilic species, five of which have been isolated from humans, including the emerging pathogen R. argillacea. A new species, R. pulvericola, was recovered from one residence in Songkhla, Thailand, and is morphologically characterised and compared phylogenetically with other members of the genus. Rasamsonia pulvericola forms a clade with R. brevistipitata and shares morphological characters such as usually biverticillate and never terverticillate conidiophores, and subglobose to ellipsoidal conidia. It has a lower maximum growth temperature and is the first mesophilic species added to the genus. The ITS sequence of R. pulvericola was not detected in the 454-pyrosequencing data for Thailand or other countries, but a similar ITS sequence was detected in Micronesia, probably representing another undescribed Rasamsonia species.","2013-12","2016-07-22 16:08:27","2016-07-22 16:08:27","2016-07-22 16:08:27","205-212","","2","4","","IMA Fungus","","","","","","","","","","","","","PubMed Central","","PMID: 24563833 PMCID: PMC3905939","","C:\Users\Sparhawk\Zotero\storage\C6PZJ59M\Tanney and Seifert - 2013 - Rasamsonia pulvericola sp. nov., isolated from hou.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3905939/","G-2011-6-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHCMF8ZK","journalArticle","2014","Visagie, Cobus M.; Seifert, Keith A.; Houbraken, Jos; Samson, Robert A.; Jacobs, Karin","Diversity of Penicillium section Citrina within the fynbos biome of South Africa, including a new species from a Protea repens infructescence","Mycologia","","0027-5514, 1557-2536","10.3852/13-256","http://www.mycologia.org/content/106/3/537","During a survey of the fynbos biome in the Western Cape of South Africa, 61 Penicillium species were isolated and nine belong to Penicillium section Citrina. Based on morphology and multigene phylogenies, section Citrina species were identified as P. cairnsense, P. citrinum, P. pancosmium, P. pasqualense, P. sanguifluum, P. sizovae, P. sumatrense and P. ubiquetum. One of the species displayed unique phenotypic characters and DNA sequences and is described here as P. sucrivorum. Multigene phylogenies consistently resolved the new species in a clade with P. aurantiacobrunneum, P. cairnsense, P. miczynksii, P. neomiczynskii and P. quebecense. However, ITS, β-tubulin and calmodulin gene sequences are unique for P. sucrivorum and growth rates on various media, the ability to grow at 30 C, a positive Ehrlich reaction and the absence of sclerotia on all media examined, distinguish P. sucrivorum from all of its close relatives.","2014-05-01","2016-07-22 16:09:50","2016-07-22 16:09:50","2016-07-22 16:09:50","537-552","","3","106","","Mycologia","","","","","","","","en","","","","","www.mycologia.org","","PMID: 24871606","","C:\Users\Sparhawk\Zotero\storage\5V79IJTH\Visagie et al. - 2014 - Diversity of Penicillium section Citrina within th.pdf; ; C:\Users\Sparhawk\Zotero\storage\VIUIBXRB\537.html","http://www.ncbi.nlm.nih.gov/pubmed/24871606","G-2011-6-03","mites; consilient taxonomy; arthropod vectoring; Biodiversity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CM962FJH","journalArticle","2015","Nguyen, Hai D. T.; Jančič, Sašo; Meijer, Martin; Tanney, Joey B.; Zalar, Polona; Gunde-Cimerman, Nina; Seifert, Keith A.","Application of the Phylogenetic Species Concept to Wallemia sebi from House Dust and Indoor Air Revealed by Multi-Locus Genealogical Concordance","PLoS ONE","","1932-6203","10.1371/journal.pone.0120894","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4370657/","A worldwide survey of Wallemia occurring in house dust and indoor air was conducted. The isolated strains were identified as W. sebi and W. muriae. Previous studies suggested that the W. sebi phylogenetic clade contained cryptic species but conclusive evidence was lacking because only the internal transcribed spacer (ITS) marker was analyzed. The ITS and four protein-coding genes (MCM7, RPB1, RPB2, and TSR1) were sequenced for 85 isolates. Based on an initial neighbor joining analysis of the concatenated genes, W. muriae remained monophyletic but four clades were found in W. sebi, which we designated as W. sebi clades 1, 2, 3, and 4. We hypothesized that these clades represent distinct phylogenetic species within the Wallemia sebi species complex (WSSC). We then conducted multiple phylogenetic analyses and demonstrated genealogical concordance, which supports the existence of four phylogenetic species within the WSSC. Geographically, W. muriae was only found in Europe, W. sebi clade 3 was only found in Canada, W. sebi clade 4 was found in subtropical regions, while W. sebi clade 1 and 2 were found worldwide. Haplotype analysis showed that W. sebi clades 1 and 2 had multiple haplotypes while W. sebi clades 3 and 4 had one haplotype and may have been under sampled. We describe W. sebi clades 2, 3, and 4 as new species in a companion study.","2015-03-23","2016-07-22 16:11:32","2016-07-22 16:11:32","2016-07-22 16:11:32","","","3","10","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 25799362 PMCID: PMC4370657","","C:\Users\Sparhawk\Zotero\storage\8Z9QMM9B\Nguyen et al. - 2015 - Application of the Phylogenetic Species Concept to.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4370657/","G-2014-14529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AJZ3P3X","journalArticle","2015","Jančič, Sašo; Nguyen, Hai D. T.; Frisvad, Jens C.; Zalar, Polona; Schroers, Hans-Josef; Seifert, Keith A.; Gunde-Cimerman, Nina","A Taxonomic Revision of the Wallemia sebi Species Complex","PLoS ONE","","1932-6203","10.1371/journal.pone.0125933","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446336/","Wallemia sebi is a xerophilic food- and air-borne fungus. The name has been used for strains that prevail in cold, temperate and tropical climates. In this study, multi-locus phylogenetic analyses, using the internal transcribed spacer (ITS) regions, DNA replication licensing factor (MCM7), pre-rRNA processing protein (TSR1), RNA polymerase II largest subunit (RPB1), RNA polymerase II second largest subunit (RPB2) and a new marker 3´-phosphoadenosine-5´-phosphatase (HAL2), confirmed the previous hypothesis that W. sebi presents a complex of at least four species. Here, we confirm and apply the phylogenetic analyses based species hypotheses from a companion study to guide phenotypic assessment of W. sebi like strains from a wide range of substrates, climates and continents allowed the recognition of W. sebi sensu stricto and three new species described as W. mellicola, W. Canadensis, and W. tropicalis. The species differ in their conidial size, xerotolerance, halotolerance, chaotolerance, growth temperature regimes, extracellular enzyme activity profiles, and secondary metabolite patterns. A key to all currently accepted Wallemia species is provided that allow their identification on the basis of physiological, micromorphological and culture characters.","2015-05-27","2016-07-22 16:12:17","2016-07-22 16:12:17","2016-07-22 16:12:17","","","5","10","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 26017053 PMCID: PMC4446336","","C:\Users\Sparhawk\Zotero\storage\KAGQ57KK\Jančič et al. - 2015 - A Taxonomic Revision of the Wallemia sebi Species .pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446336/","G-2014-14529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMZC37HP","journalArticle","2016","Hirooka, Yuuri; Tanney, Joey B.; Nguyen, Hai D. T.; Seifert, Keith A.","Xerotolerant fungi in house dust: taxonomy of Spiromastix, Pseudospiromastix and Sigleria gen. nov. in Spiromastigaceae (Onygenales, Eurotiomycetes)","Mycologia","","0027-5514, 1557-2536","10.3852/15-065","http://www.mycologia.org/content/108/1/135","During a global investigation of fungi in house dust, we isolated six novel arthroconidial fungi. Phylogenies from combined analysis of nuc rDNA 18S, 28S and internal transcribed spacers sequences demonstrated that these fungi and two species preserved in culture collections represent undescribed species of Spiromastigaceae, Onygenales. Seven of the eight species lacked sexual states and only characters of asexual states and growth rates on different media could be used to characterize them. The eighth species produced ascomata only on water agar. We introduce six new species and one new combination in Spiromastix and validate the recently proposed family Spiromastigaceae, genus Pseudospiromastix and combination Ps. tentaculata. The new genus Sigleria is proposed for two new species that differ from Spiromastix by conidiophore branching patterns, slower growth and a limited ability to utilize nitrate as a sole N source. A key to the three genera of Spiromastigaceae, Spiromastix, Pseudospiromastix and Sigleria, is provided. Phylogenetic analyses support the placement of Spiromastigaceae within Onygenales.","2016-01-01","2016-07-22 16:14:15","2016-07-22 16:14:15","2016-07-22 16:14:15","135-156","","1","108","","Mycologia","Xerotolerant fungi in house dust","","","","","","","en","","","","","www.mycologia.org","","PMID: 26577613","","C:\Users\Sparhawk\Zotero\storage\FPKMGPH3\Hirooka et al. - 2016 - Xerotolerant fungi in house dust taxonomy of Spir.pdf; ; C:\Users\Sparhawk\Zotero\storage\CXHVSKGA\135.html","http://www.ncbi.nlm.nih.gov/pubmed/26577613","G-2014-14529","xerotolerant fungi; Melbourne Code; Microbiology of the built environment; systematics; Phylogeny","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBETI4ZB","journalArticle","2016","Al-Hatmi, Abdullah M. S.; Van Den Ende, A. H. G. Gerrits; Stielow, J. Benjamin; Van Diepeningen, Anne D.; Seifert, Keith A.; McCormick, Wayne; Assabgui, Rafik; Gräfenhan, Tom; De Hoog, G. Sybren; Levesque, C. André","Evaluation of two novel barcodes for species recognition of opportunistic pathogens in Fusarium","Fungal Biology","","1878-6146","10.1016/j.funbio.2015.08.006","","The genus Fusarium includes more than 200 species of which 73 have been isolated from human infections. Fusarium species are opportunistic human pathogens with variable aetiology. Species determination is best made with the combined phylogeny of protein-coding genes such as elongation factor (TEF1), RNA polymerase (RPB2) and the partial β-tubulin (BT2) gene. The internal transcribed spacers 1, 2 and 5.8S rRNA gene (ITS) have also been used, however, ITS cannot discriminate several closely related species and has nonorthologous copies in Fusarium. Currently, morphological approaches and tree-building methods are in use to define species and to discover hitherto undescribed species. Aftter a species is defined, DNA barcoding approaches can be used to identify species by the presence or absence of discrete nucleotide characters. We demonstrate the potential of two recently discovered DNA barcode loci, topoisomerase I (TOP1) and phosphoglycerate kinase (PGK), in combination with other routinely used markers such as TEF1, in an analysis of 144 Fusarium strains belonging to 52 species. Our barcoding study using TOP1 and PKG provided concordance of molecular data with TEF1. The currently accepted Fusarium species sampled were well supported in phylogenetic trees of both new markers.","2016-02","2016-07-22 16:14:49","2017-08-14 22:28:38","","231-245","","2","120","","Fungal Biol","","","","","","","","eng","","","","","PubMed","","PMID: 26781379","","","http://www.ncbi.nlm.nih.gov/pubmed/26781379","G-2011-6-03","Topoisomerase I (TOP1); Phosphoglycokinase (PGK); Character-based DNA barcoding; Fusarium; Intra- and inter-specific variation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGGR45RW","journalArticle","2015","Segers, Frank J. J.; Meijer, Martin; Houbraken, Jos; Samson, Robert A.; Wösten, Han A. B.; Dijksterhuis, Jan","Xerotolerant Cladosporium sphaerospermum Are Predominant on Indoor Surfaces Compared to Other Cladosporium Species","PLoS ONE","","1932-6203","10.1371/journal.pone.0145415","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4687004/","Indoor fungi are a major cause of cosmetic and structural damage of buildings worldwide and prolonged exposure of these fungi poses a health risk. Aspergillus, Penicillium and Cladosporium species are the most predominant fungi in indoor environments. Cladosporium species predominate under ambient conditions. A total of 123 Cladosporium isolates originating from indoor air and indoor surfaces of archives, industrial factories, laboratories, and other buildings from four continents were identified by sequencing the internal transcribed spacer (ITS), and a part of the translation elongation factor 1α gene (TEF) and actin gene (ACT). Species from the Cladosporium sphaerospermum species complex were most predominant representing 44.7% of all isolates, while the Cladosporium cladosporioides and Cladosporium herbarum species complexes represented 33.3% and 22.0%, respectively. The contribution of the C. sphaerospermum species complex was 23.1% and 58.2% in the indoor air and isolates from indoor surfaces, respectively. Isolates from this species complex showed growth at lower water activity (≥ 0.82) when compared to species from the C. cladosporioides and C. herbarum species complexes (≥ 0.85). Together, these data indicate that xerotolerance provide the C. sphaerospermum species complex advantage in colonizing indoor surfaces. As a consequence, C. sphaerospermum are proposed to be the most predominant fungus at these locations under ambient conditions. Findings are discussed in relation to the specificity of allergy test, as the current species of Cladosporium used to develop these tests are not the predominant indoor species.","2015-12-21","2016-07-22 16:21:17","2016-07-22 16:21:17","2016-07-22 16:21:17","","","12","10","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 26690349 PMCID: PMC4687004","","C:\Users\Sparhawk\Zotero\storage\ZPS9BN4I\Segers et al. - 2015 - Xerotolerant Cladosporium sphaerospermum Are Predo.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4687004/","G-2014-14529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
